date,price
2021-02-18,144.96
2021-02-17,144.85
2021-02-16,147.07
2021-02-13,147.98
2021-02-12,147.92
2021-02-11,145.35
2021-02-10,145.2
2021-02-09,146.4399
2021-02-08,147.28
2021-02-06,145.9401
2021-02-05,145.9
2021-02-04,147.9
2021-02-03,151.99
2021-02-02,166.45
2021-02-01,161.75
2021-01-30,156.0
2021-01-29,156.01
2021-01-28,160.0
2021-01-27,152.23
2021-01-26,162.0
2021-01-25,164.62
2021-01-23,162.49
2021-01-22,162.12
2021-01-21,164.1701
2021-01-20,165.4
2021-01-19,164.39
2021-01-16,157.6
2021-01-15,157.5
2021-01-14,162.02
2021-01-13,158.0
2021-01-12,154.25
2021-01-11,156.11
2021-01-09,157.23
2021-01-08,157.14
2021-01-07,156.37
2021-01-06,151.27
2021-01-05,152.12
2021-01-04,148.69
2020-12-31,152.4
2020-12-30,150.01
2020-12-29,148.6
2020-12-28,147.96
2020-12-24,148.79
2020-12-23,147.67
2020-12-22,146.85
2020-12-21,146.85
2020-12-19,147.35
2020-12-18,147.6
2020-12-17,149.5
2020-12-16,149.95
2020-12-15,148.41
2020-12-14,146.6
2020-12-12,144.2
2020-12-11,144.43
2020-12-10,151.4
2020-12-09,155.7
2020-12-08,158.8
2020-12-07,157.95
2020-12-05,157.5
2020-12-04,157.45
2020-12-03,150.64
2020-12-02,150.14
2020-12-01,151.5
2020-11-30,147.3
2020-11-27,143.83
2020-11-26,144.67
2020-11-25,144.54
2020-11-24,146.0001
2020-11-23,144.2
2020-11-21,146.0
2020-11-20,146.05
2020-11-19,146.5
2020-11-18,146.75
2020-11-17,148.9
2020-11-16,149.65
2020-11-14,144.25
2020-11-13,144.18
2020-11-12,144.9
2020-11-11,148.38
2020-11-10,140.22
2020-11-09,143.5
2020-11-07,145.24
2020-11-06,145.24
2020-11-05,144.26
2020-11-04,145.6
2020-11-03,126.0
2020-11-02,124.27
2020-10-30,123.75
2020-10-29,124.2
2020-10-28,122.44
2020-10-27,125.7
2020-10-26,126.6
2020-10-23,128.7
2020-10-22,129.08
2020-10-21,128.45
2020-10-20,128.52
2020-10-19,129.2001
2020-10-16,128.67
2020-10-15,128.64
2020-10-14,129.5
2020-10-13,127.65
2020-10-12,127.3
2020-10-09,125.02
2020-10-08,123.3
2020-10-07,123.3
2020-10-06,119.15
2020-10-05,120.0
2020-10-02,115.2799
2020-10-01,119.4
2020-09-30,117.68
2020-09-29,117.21
2020-09-28,119.4
2020-09-25,114.2
2020-09-24,112.73
2020-09-23,110.4
2020-09-22,113.2
2020-09-21,112.49
2020-09-18,110.85
2020-09-17,114.6
2020-09-16,114.95
2020-09-15,116.9
2020-09-14,113.55
2020-09-11,113.3
2020-09-10,113.82
2020-09-09,114.7
2020-09-08,111.88
2020-09-04,115.89
2020-09-03,114.29
2020-09-02,123.18
2020-09-01,122.5
2020-08-31,119.18
2020-08-28,118.39
2020-08-27,116.11
2020-08-26,116.0
2020-08-25,116.23
2020-08-24,116.0
2020-08-21,113.01
2020-08-20,110.66
2020-08-19,110.75
2020-08-18,112.25
2020-08-17,112.25
2020-08-14,113.65
2020-08-13,113.73
2020-08-12,115.9
2020-08-11,109.31
2020-08-10,106.0
2020-08-07,108.11
2020-08-06,110.5
2020-08-05,111.39
2020-08-04,111.0
2020-08-03,109.6
2020-07-31,105.8
2020-07-30,107.8
2020-07-29,103.83
2020-07-28,92.4
2020-07-27,93.2
2020-07-24,88.63
2020-07-23,89.65
2020-07-22,92.62
2020-07-21,92.57
2020-07-20,93.2
2020-07-17,92.45
2020-07-16,91.04
2020-07-15,92.5
2020-07-14,93.25
2020-07-13,91.7
2020-07-10,92.56
2020-07-09,93.3
2020-07-08,93.66
2020-07-07,92.5
2020-07-06,93.0
2020-07-02,91.91
2020-07-01,89.77
2020-06-30,91.35
2020-06-29,89.6
2020-06-26,88.0
2020-06-25,88.88
2020-06-24,89.0
2020-06-23,89.3
2020-06-22,89.3
2020-06-19,88.1
2020-06-18,90.4
2020-06-17,89.64
2020-06-16,89.76
2020-06-15,87.0
2020-06-12,85.55
2020-06-11,85.0
2020-06-10,90.57
2020-06-09,89.98
2020-06-08,91.37
2020-06-05,88.6
2020-06-04,86.06
2020-06-03,84.36
2020-06-02,85.0
2020-06-01,79.63
2020-05-29,81.0
2020-05-28,78.4
2020-05-27,78.51
2020-05-26,78.25
2020-05-22,78.7
2020-05-21,78.0
2020-05-20,80.8899
2020-05-19,78.45
2020-05-18,79.95
2020-05-15,75.7
2020-05-14,80.16
2020-05-13,79.3
2020-05-12,77.5
2020-05-11,80.68
2020-05-08,80.68
2020-05-07,79.28
2020-05-06,78.42
2020-05-05,77.99
2020-05-04,75.2901
2020-05-01,75.77
2020-04-30,77.31
2020-04-29,81.35
2020-04-28,75.55
2020-04-27,76.16
2020-04-24,75.86
2020-04-23,72.5
2020-04-22,74.3
2020-04-21,72.54
2020-04-20,74.52
2020-04-17,76.0
2020-04-16,79.5
2020-04-15,75.3
2020-04-14,77.9
2020-04-13,73.8799
2020-04-09,72.2
2020-04-08,73.63
2020-04-07,73.0
2020-04-06,70.92
2020-04-03,65.0
2020-04-02,67.7
2020-04-01,66.45
2020-03-31,66.61
2020-03-30,69.0
2020-03-27,66.59
2020-03-26,69.5
2020-03-25,63.67
2020-03-24,65.1
2020-03-23,63.8
2020-03-20,60.7999
2020-03-19,64.3
2020-03-18,63.5
2020-03-17,65.7
2020-03-16,66.8
2020-03-13,74.9
2020-03-12,65.0
2020-03-11,74.5
2020-03-10,77.19
2020-03-09,74.5
2020-03-07,77.08
2020-03-06,77.05
2020-03-05,79.22
2020-03-04,81.19
2020-03-03,78.5
2020-03-02,80.0
2020-02-29,79.45
2020-02-28,79.4
2020-02-27,75.7
2020-02-26,79.25
2020-02-25,80.85
2020-02-24,83.39
2020-02-22,87.1
2020-02-21,87.02
2020-02-20,88.57
2020-02-19,90.57
2020-02-18,88.11
2020-02-15,89.6
2020-02-14,89.67
2020-02-13,90.35
2020-02-12,91.4
2020-02-11,90.0
2020-02-10,88.4
2020-02-08,87.26
2020-02-07,87.55
2020-02-06,90.59
2020-02-05,89.0
2020-02-04,89.07
2020-02-03,86.25
2020-02-01,85.25
2020-01-31,85.33
2020-01-30,87.88
2020-01-29,88.32
2020-01-28,88.7
2020-01-27,87.19
2020-01-25,89.6
2020-01-24,89.5
2020-01-23,92.2
2020-01-22,92.6
2020-01-21,94.53
2020-01-18,95.85
2020-01-17,95.88
2020-01-16,91.86
2020-01-15,89.9
2020-01-14,90.42
2020-01-13,90.97
2020-01-11,90.3
2020-01-10,90.3
2020-01-09,90.0
2020-01-08,88.88
2020-01-07,86.79
2020-01-06,86.51
2020-01-04,86.95
2020-01-03,87.0
2020-01-02,88.8
2020-01-01,88.31
2019-12-31,88.3098
2019-12-30,88.29
2019-12-28,88.62
2019-12-27,88.62
2019-12-26,88.46
2019-12-24,88.8
2019-12-23,88.45
2019-12-21,88.88
2019-12-20,88.97
2019-12-19,88.5
2019-12-18,88.24
2019-12-17,88.26
2019-12-16,88.5
2019-12-14,87.98
2019-12-13,87.9
2019-12-12,89.3501
2019-12-11,87.2
2019-12-10,84.2
2019-12-09,84.9
2019-12-06,83.82
2019-12-05,82.75
2019-12-04,82.07
2019-12-03,80.69
2019-12-02,82.3
2019-11-29,83.7
2019-11-28,84.32
2019-11-27,84.28
2019-11-26,84.85
2019-11-25,85.18
2019-11-23,85.05
2019-11-22,85.0
2019-11-21,85.2
2019-11-20,85.25
2019-11-19,87.75
2019-11-18,90.5001
2019-11-16,90.85
2019-11-15,91.09
2019-11-14,90.5
2019-11-13,90.51
2019-11-12,90.73
2019-11-11,91.7
2019-11-09,94.19
2019-11-08,94.17
2019-11-07,89.99
2019-11-06,88.95
2019-11-05,85.31
2019-11-04,85.18
2019-11-01,83.65
2019-10-31,80.99
2019-10-30,81.5
2019-10-29,81.71
2019-10-28,83.09
2019-10-25,80.2299
2019-10-24,79.1
2019-10-23,77.55
2019-10-22,77.05
2019-10-21,78.98
2019-10-18,77.6
2019-10-17,78.97
2019-10-16,78.25
2019-10-15,77.82
2019-10-14,76.5
2019-10-11,76.76
2019-10-10,75.34
2019-10-09,73.19
2019-10-08,72.85
2019-10-07,76.31
2019-10-04,77.47
2019-10-03,75.75
2019-10-02,73.96
2019-10-01,75.47
2019-09-30,76.44
2019-09-27,76.75
2019-09-26,76.95
2019-09-25,77.26
2019-09-24,75.5
2019-09-23,77.44
2019-09-20,76.25
2019-09-19,78.2601
2019-09-18,78.75
2019-09-17,78.75
2019-09-16,78.05
2019-09-13,78.01
2019-09-12,79.28
